,Sludinājumi,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena,URL,Region
4,"Pārdod plašu 1- istabu dzīvokli. Dzīvoklis ir pret pagalmu, kas ",Ropažu 93,1,26,2/2,P. kara,538 €,"14,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/cxjpc.html,teika
5,"Lielisks ieguldījums Jūsu ģimenei. 
Mājīgs, saulains, gaišs 3-i",Caunes 10,3,86,3/7,Specpr.,"1,140 €","98,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/agnmd.html,teika
6,"Pārdošanā lielisks, saulains dzīvoklis kvalitatīvajā Staļina lai",Brīvības 377,2,47,2/2,Staļina,932 €,"43,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/dfkjh.html,teika
7,Tiek pārdots skaists un kvalitatīvs dzīvoklis ļoti labā vietā. N,Ropažu 76,3,60,2/5,Hrušč.,"1,350 €","81,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/ekkxo.html,teika
8,"Pārdod ekskluzīvu 3 istabu dzīvokli projektā „Jaunā Teika” Rīgā,",Ropažu 12,3,124,5/9,Jaun.,"1,613 €","200,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/hhxkm.html,teika
9,Продаю квартиру (тип- студия) или меняю на 2-х комнатную без рем,Ķeguma 43,1,43,3/5,M. ģim.,"1,116 €","48,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/aehjm.html,teika
10,"Unikāls divlīmeņu dzīvoklis jaunā projektā, kurš izvietots slēgt",Vairoga 32,3,86,3/3,Renov.,"1,500 €","129,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/enhgg.html,teika
11,3- istabu dzīvoklis ar izcili pārdomātu plānojumu - divas guļami,Vairoga 32,3,56,4/4,Renov.,"1,946 €","109,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/fmbki.html,teika
12,"Unikāls dzīvokļu projekts izvietots slēgtā, zaļā teritorijā ar d",Vairoga 32,3,51,1/3,Renov.,"1,931 €","98,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/aakhi.html,teika
13,"Neticami pārdomāts un izdevīgs 4 istabu dzīvoklis, ir 2 bērnu is",Vairoga 32,4,58,1/3,Renov.,"1,871 €","108,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/kmggx.html,teika
14,3- istabu dzīvoklis ar izcili pārdomātu plānojumu - divas guļami,Vairoga 32,3,65,3/3,Renov.,"1,985 €","129,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/eofdp.html,teika
15,"Pārdodu siltu, sausu, omulīgu 2-istabu dzīvokli. Vidus dzīvoklis",Kastrānes 2a,2,42,2/3,Hrušč.,"1,024 €","43,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/ccbbc.html,teika
16,"Pārdošanā 3 istabu dzīvoklis, specprojekts, 5/5 stāvs, platība 6",Biķernieku 12B,3,67,5/5,Specpr.,896 €,"60,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/clfec.html,teika
17,"Remonts, stikla paketes, iebūvēta virtuve, metāla durvis. Augsti",Ropažu 60,3,60,1/3,Staļina,"1,050 €","63,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/bjhom.html,teika
18,"Pārdod saulainu un mājīgu 1 istabu dzīvokli ķieģeļu mājā, vienā ",Brīvības 237,1,29,3/5,Specpr.,"1,272 €","36,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/dmhle.html,teika
19,"Pārdodam 5-istabu dzīvokli Teikas rajonā, kopējā platība 141, 8 ",Ropažu 49,5,142,2/7,Specpr.,930 €,"132,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/gidig.html,teika
20,"Квартира находится в одном из лучших районов Риги - Тейке, в кир",Biķernieku 71,2,41,4/5,Hrušč.,963 €,"39,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/blfeb.html,teika
21,"Pārdodas gaišs, stilīgs un elegants trīsistabu dzīvoklis jaunajā",Ropažu 12,3,96,10/12,Jaun.,"1,865 €","179,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/teika/ahbce.html,teika
0,"Moderns divu līmeņu dzīvoklis lieliskajā projektā ""Torena nami"".",Jelgavas 63,2,47,3/6,Jaun.,"1,809 €","85,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/iegkb.html,tornjakalns
1,"Pārdod 8 (astoņus) īres dzīvokļus, 560/1250 domājamās daļas no n",Jelgavas 32,Citi,246,1/2,P. kara,402 €,"99,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/ckgfh.html,tornjakalns
2,"Продаю 2 комнатную квартиру. 
Есть вода, канализация, низкие ко",Konrāda 9,2,41,2/2,P. kara,363 €,"14,890  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/ajgjm.html,tornjakalns
3,"Tualete, duša un ūdens dzīvoklī. ir vieta pagalmā priekš auto, š",Altonavas 19,1,17,1/2,Specpr.,888 €,"15,100  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/fhdbm.html,tornjakalns
4,"Dzīvoklis pēc kosmētiskā remonta - pakešu logi. 
Viena istaba 1",Olīvu 100,2,43,1/1,Specpr.,442 €,"19,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/akpxi.html,tornjakalns
5,"Pārdodas 2-istabas dzīvoklis, normālā stāvokli, aprīkots ar mēbe",Robežu 2,2,45,1/2,P. kara,611 €,"27,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/ekhhb.html,tornjakalns
6,"Labs 2 istabu dzīvoklis Atgāzenes ielā. Samazināta cena. 

-Kl",Atgāzenes 12,2,69,1/3,Jaun.,"1,275 €","88,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/fpkhj.html,tornjakalns
7,"Продается 1. комн. солнечная и уютная квартира, со всеми удобств",Vienības g. X,1,28,4/5,Specpr.,893 €,"25,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/hkoen.html,tornjakalns
8,"Продаётся двухкомнатная квартира, не угловая, с балконом. Кварти",Vaiņodes 24A,2,45,3/5,Specpr.,800 €,"36,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/aakeb.html,tornjakalns
9,"Kompakts dzīvoklis, labā koka mājā. Dzīvoklī veikts remonts. Vis",Robežu 24,1,22,2/2,P. kara,807 €,"17,750  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/ejopi.html,tornjakalns
10,"Īpašnieks pārdod neremontētu dzīvokli. San. mezgls dzīvoklī, apk",Vēja 20,3,48,2/3,P. kara,729 €,"35,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/elfje.html,tornjakalns
11,Īpašnieks pārdod saulainu un siltu 2 istabu dzīvokli klusajā Tor,Ludviķa 10,2,58,4/5,P. kara,"1,155 €","67,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/egnle.html,tornjakalns
12,Pārdošanā dzīvoklis divstāvu koka mājā. Dzīvoklis atrodas mājas ,Atgāzenes 8,2,56,2/1,M. ģim.,625 €,"35,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/hkifj.html,tornjakalns
13,"Piedāvājumā dzīvoklis ar individuālo gāzes apkuri Torņkalnā, Lud",Ludviķa 10,3,60,4/5,P. kara,"1,283 €","77,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/cexmc.html,tornjakalns
14,"Lieliska investīcija nākotnei. 

Izīrējot dzīvokli, 13% gada i",Neretas 6,1,26,1/2,P. kara,477 €,"12,400  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/aflef.html,tornjakalns
15,Pārdodam lielisku divstāvu dzīvoklī (5.un 6. stāvs) 98m2.Gaišs s,Bauskas 33,3,98,5/7,Jaun.,"1,276 €","125,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/enofc.html,tornjakalns
16,Īpašnieks pārdod daļu no mājas ar atsevīsķu ieeju. Dzīvoklī stud,Pastendes 13,1,27,1/2,Specpr.,667 €,"18,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/djkdo.html,tornjakalns
17,Продается квартира в деревянном доме без ремонта. Заменяны стекл,Vēja 7,1,33,2/2,P. kara,364 €,"12,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/gdixk.html,tornjakalns
0,"Dzīvoklis pie jūras un priežu meža. 

Dzīvoklim ir plaša studi",Pludmales 21A,2,171,2/2,Jaun.,877 €,"150,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecaki/dfobf.html,vecaki
0,"Tiek pārdots saulains 2 istabu dzīvoklis. 

+ 5 stāvu ēkas 2. ",Meldru 4,2,46,2/5,Hrušč.,921 €,"42,365  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/hbjhi.html,vecmilgravis
1,"Продается квартира. 
В квартире установлены новые стеклопакеты,",Melīdas 1,1,43,2/5,M. ģim.,651 €,"28,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/aomcx.html,vecmilgravis
2,"Продается квартира с хорошим качественным ремонтом. 
Заменены с",Melīdas 1,1,43,5/5,M. ģim.,605 €,"26,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/gfpen.html,vecmilgravis
3,"Piedavājam gaišu siltu dzīvokli, ļoti laba vietā. Istabas 14, 15",Sniega 2,3,56,5/5,LT proj.,804 €,"45,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bbxpjd.html,vecmilgravis
4,"Pārdodu 3 istabu dzīvokli, Vecmīlgrāvja centrālajā daļā, Meldru ",Meldru 20,3,56,5/5,LT proj.,589 €,"33,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bixhpb.html,vecmilgravis
5,Уютная и теплая 3 комнатная квартира. Квартира в нормальном сост,Melīdas 3/1,3,67,1/5,LT proj.,630 €,"42,240  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/fbexe.html,vecmilgravis
6,Теплая квартира с изолированными комнатами на 2-ом этаже кирпичн,Emmas 3a,2,49,2/5,Specpr.,671 €,"32,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/behij.html,vecmilgravis
7,"Продается 2-ух комнатная квартира. 
Светлая, теплая, не угловая",Kalngales 1,2,51,6/9,602.,"1,039 €","53,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/ehpfo.html,vecmilgravis
8,"Labs piedāvājums. 

Ērts un funkcionāls plānojums. Dzīvoklim i",Kāvu 4,3,68,4/5,LT proj.,921 €,"62,600  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/gpcoo.html,vecmilgravis
9,"Продается квартира с отличным ремонтом. 
В квартире установлены",Gliemežu 5,1,37,1/5,Specpr.,757 €,"28,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/dondl.html,vecmilgravis
10,"Продается солнечная квартира, в отличном состоянии. 
В квартире",Atlantijas 30,1,30,4/4,Specpr.,883 €,"26,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/cdkdh.html,vecmilgravis
11,"Dzīvoklis ar labu konfigurāciju - ērts plānojums. liela virtuve,",Mildas 4a,2,46,1/2,Staļina,424 €,"19,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/egibg.html,vecmilgravis
12,"Продается 2 - х комнатная квартирка, комнаты смежные, сан узел р",Rīnūžu 11,2,52,2/5,103.,587 €,"30,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/aibim.html,vecmilgravis
13,Владелец продает 2 комнатную квартиру в новом жилом комплексе ” ,Emmas 28,2,34,4/4,Jaun.,"1,279 €","43,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/afpei.html,vecmilgravis
14,"Silts un labi izgaismots 1 istabu dzīvoklis ēkas vidusdaļā, Vecm",Ledus 2,1,35,2/9,602.,"1,114 €","39,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/gmgif.html,vecmilgravis
15,"Silts, gaišs vienistabas dzīvoklis:
 pakešu logi, dubultas ieej",Emmas 30,1,30,1/4,Staļina,708 €,"21,240  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bxmkfx.html,vecmilgravis
16,Срочно. Дешево. Продается 3-комнатная квартира. Очень хорошая пл,Staru 21,3,68,4/5,LT proj.,566 €,"38,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bhdej.html,vecmilgravis
17,"Эксклюзивный ремонт, 4 комнаты, сталинка, мебель, бытовая техник",Emmas 12a,4,64,1/3,Staļina,905 €,"57,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/hdxef.html,vecmilgravis
18,"Уютная теплая 2-х комн. квартира с балконом в кирпичном доме. 
",Meldru 6,2,43,2/5,Hrušč.,663 €,"28,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/eenmm.html,vecmilgravis
19,Продается 2-х комнатная квартира. В квартире две изолированные к,Vecmīlgrāvja 1. l...,2,51,3/5,LT proj.,567 €,"28,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/exbcd.html,vecmilgravis
20,"Стеклопакеты, земля приватезированная, лоджия, чистый двор. Обсл",Dombrovska 41,1,33,1/9,602.,727 €,"23,999  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/dbpoo.html,vecmilgravis
21,"Продается 4-х комнатная квартира, которая переделанная в 3-х ком",Baltāsbaznīcas 34,4,89,3/5,103.,966 €,"86,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/ggenm.html,vecmilgravis
22,"Продаётся 2-комнатная квартира в тихом, зелёном районе, недалеко",Rīnūžu 11,2,52,3/5,Specpr.,942 €,"49,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/affpf.html,vecmilgravis
23,"Продается квартира с отличным ремонтом. 
Квартира не угловая, б",Baltāsbaznīcas 23,1,24,4/4,M. ģim.,863 €,"20,700  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/ecegf.html,vecmilgravis
24,"В квартире установлены стеклопакеты, железная дверь, душевая, но",Skuju 2,2,48,1/5,103.,810 €,"38,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bfxdj.html,vecmilgravis
25,"Tiek pārdots mājīgs divistabu dzīvoklis, lietuvišku projekta. Ēk",Sniega 2,2,50,4/5,LT proj.,700 €,"35,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/ajdko.html,vecmilgravis
26,"Продается квартира без ремонта. 
Комнаты смежно изолированные, ",Emmas 5,3,56,5/5,LT proj.,634 €,"35,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/ajdkl.html,vecmilgravis
27,Продается квартира со смежно изолированными комнатами. Окна выхо,Edžiņa g. 7,3,56,1/5,LT proj.,714 €,"40,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/ddggx.html,vecmilgravis
28,"Продается не угловая квартира в нормальном состоянии. 
Квартира",Meldru 12,2,42,2/4,Hrušč.,714 €,"30,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/binbc.html,vecmilgravis
29,Продается не угловая квартира со смежно изолированными комнатами,Edžiņa g. 7,3,69,5/5,LT proj.,696 €,"48,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/hgjpi.html,vecmilgravis
0,"Rus 
Продаётся четырёхкомнатная квартира, без долгов. Металличе",Emmas 3А,4,74,2/5,Hrušč.,716 €,"53,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/dlpco.html,vecmilgravis
1,"Nomaksa. Jauni trīs logi un metāla durvis. Mājas daļa, atsevišķa",Rūpnīcas 15,2,35,1/2,P. kara,217 €,"7,590  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/agnxc.html,vecmilgravis
2,"Продаю квартиру с ремонтом, в отличном состоянии. Светлая, не уг",Kalngales 1,2,50,1/9,602.,940 €,"47,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/clxlb.html,vecmilgravis
3,Silts vienistabas dzīvoklis ķieģeļu mājā ar skatu uz zaļu pagalm,Vecmīlgrāvja 8,1,26,5/5,Hrušč.,827 €,"21,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/gfoxp.html,vecmilgravis
4,Хозяин продаёт квартиру со всеми удобствами. Квартира без евро-р,Baltāsbaznīcas 44,2,52,2/3,Staļina,808 €,"42,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/gmbjp.html,vecmilgravis
5,Квартира в Вецмилгрависе с двумя большими раздельными комнатами.,Emmas 12,2,52,3/3,Staļina,729 €,"37,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/agjbb.html,vecmilgravis
6,"Pārdod 4-istabu dzīvokli skaistā, zaļā vietā Vecmīlgrāvī no īpaš",Rinkas 11,4,80,4/9,602.,725 €,"58,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bkcxpp.html,vecmilgravis
7,"Piedāvājumā 3-istabu dzīvoklis Edžiņa gatvē 7, pie Augusta Dombr",Edžiņa g. 7,3,56,2/5,LT proj.,661 €,"37,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/diled.html,vecmilgravis
8,Īpašnieks pārdod telpas 82.1m2 dzīvokļa izbūvei katram pēc savām,Emmas 12A,2,82,1/3,Staļina,390 €,"32,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/ahofx.html,vecmilgravis
9,"Pārdodu siltu un atbrīvotu 2-istabu dzīvokli, jaunā Lietuviešu p",Vecmīlgrāvja 1. l...,2,50,2/5,LT proj.,640 €,"32,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/fckbp.html,vecmilgravis
10,Владелица продает светлую и уютную 3х комнатную квартиру без дол,Meldru 26,3,61,4/5,LT proj.,820 €,"50,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/dhigh.html,vecmilgravis
11,Pārdodas saulains un plašs 1 istabas dzīvoklis ar lielu iestiklo,Stiebru 3,1,42,5/5,M. ģim.,713 €,"29,950  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/hgkfp.html,vecmilgravis
12,"Продается 3х комнатная квартира, в Вецмилгрависе. Очень хорошая ",Kreimeņu 5а,3,63,5/5,Specpr.,476 €,"30,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/apgbn.html,vecmilgravis
13,"Pārdod pēc kapitālā remonta 2 istabu dzīvokli, nomainīti stikla ",Kreimeņu 3,2,56,1/5,103.,777 €,"43,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/dkgei.html,vecmilgravis
14,"Divistabu Dzīvoklis jaunajā projektā Ziemeļblāzmas aleja. 
 Pil",Emmas 28,2,32,4/4,Renov.,"1,406 €","45,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/feemh.html,vecmilgravis
15,"Солнечная тёплая квартира со всеми удобствами, большая кухня, вс",Vijolīšu 6,1,43,3/5,M. ģim.,579 €,"24,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/eepoj.html,vecmilgravis
16,"Продается квартира, полуподвал, отдельный вход, есть кладовая, с",Emmas 10,2,68,1/3,Staļina,279 €,"19,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/coopf.html,vecmilgravis
17,Продается 2-х комнатная квартира на идеальном 3 этаже. Квартира ,Baltāsbaznīcas 36,2,37,3/5,103.,973 €,"36,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bjdni.html,vecmilgravis
18,"Kosmētiskais remonts, jauna santehnika, remonts vannas istaba, l",Melīdas 3,1,27,1/5,LT proj.,930 €,"25,100  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bloxg.html,vecmilgravis
19,"Для ценителей тишины, чистого воздуха и отдыха летом на природе ",Gāles 7,3,77,1/2,P. kara,584 €,"45,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/diiii.html,vecmilgravis
20,"Saimnieks pārdod dzīvokļu. Vajadzigs remonts, laba vieta.",Emmas 1,3,58,3/5,Hrušč.,568 €,"32,950  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/cnfkp.html,vecmilgravis
21,"Продается 3х комнатная квартира, владельцем, в Вецмилгрависе. Оч",Dombrovska 33,3,60,1/9,467.,"1,050 €","63,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/fljjg.html,vecmilgravis
22,"Izolētas istabas, nav stūra, 2. stikla paketes, jaunie radiatori",Melīdas 4,2,39,5/5,LT proj.,769 €,"30,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/dfimm.html,vecmilgravis
23,"Īpašnieks pārdot mājīgu trīs istabu dzīvokli, kas atrodas 2. stā",Emmas 9,3,68,2/5,LT proj.,956 €,"65,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/fmdgn.html,vecmilgravis
24,"Tiek pārdots gaišs, silts 3 - istabu dzīvoklis ar kopējo platību",Sniega 2,3,69,5/5,LT proj.,681 €,"47,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/cdxix.html,vecmilgravis
25,Продаётся 3комнатная квартира с 2 изолированными комнатами и одн,Emmas 11,3,56,5/5,LT proj.,625 €,"35,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/clixx.html,vecmilgravis
26,"Продаю 1 комнатную квартиру. Тёплая, солнечная сторона, не углов",Kalngales 8,1,37,5/9,602.,858 €,"31,750  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/cjebl.html,vecmilgravis
27,Уютная теплая 2-х комнотная квартира с балконом. Все окна – стек,Vecmīlgrāvja 6,2,49,3/5,Hrušč.,653 €,"32,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/fehlg.html,vecmilgravis
28,"Bez parādiem un apgrūtinājumiem. Atbrīvota. 
Pārplānošana ir sa",Melīdas 6c,3,61,4/9,467.,885 €,"54,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/ebxje.html,vecmilgravis
29,Īpašnieks pārdod izremontētu 3-istabu dzīvokli Kreimeņu ielā 5A.,Kreimeņu 5A,3,63,5/5,Specpr.,937 €,"59,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/ahihk.html,vecmilgravis
0,"Tiek pārdots silts un mājīgs 3-istabu dzīvoklis labā stāvokli. ",Emmas 11,3,68,4/5,LT proj.,728 €,"49,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/emilo.html,vecmilgravis
1,"Divas izolētas istabas, 50 kvm, 5/5. Labs remonts, pakešu logi, ",Kāvu 8,2,50,5/5,LT proj.,890 €,"44,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bxoocb.html,vecmilgravis
2,"Продаётся уютная, двухкомнатная квартира на 5-ом этаже. 
Кварти",Rinkas 1/1,2,50,5/5,LT proj.,730 €,"36,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/fxecx.html,vecmilgravis
3,"Lielisks saulains 1-ist. dzīvoklis ar plašu stiklotu lodžiju. 
",Ledus 4,1,38,6/9,602.,829 €,"31,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/achmk.html,vecmilgravis
4,"Продаю 1 комнатную квартиру, солнечная, светлая, теплая, находит",Staru 21,1,28,2/5,LT proj.,989 €,"27,700  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/fjcfh.html,vecmilgravis
5,"Продаем квартиру на улице Зиемельблазмас 42, 2-ой этаж 9-ти этаж",Ziemeļblāzmas 42,2,50,2/9,602.,"1,020 €","51,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/cecpj.html,vecmilgravis
6,Projekta attīstītājs pārdod 2-istabu dzīvokli jaunā projektā „Zi,Emmas 28,2,36,3/4,Jaun.,"1,181 €","42,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/ddgoc.html,vecmilgravis
7,"Tiek piedāvāts kopts, silts un gaišs dzīvoklis, Vecmilgrāvja cen",Meldru 26,2,50,4/5,LT proj.,560 €,"28,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bbxbbx.html,vecmilgravis
8,"Продается не угловая, малогабаритная квартира без балкона. 
Окн",Meldru 10,1,18,3/4,M. ģim.,917 €,"16,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/cjxfn.html,vecmilgravis
9,"Продается квартира. 
Комнаты смежно изолированные, окна выходят",Vecmīlgrāvja 1. l...,3,58,5/5,LT proj.,612 €,"35,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/agohe.html,vecmilgravis
10,"Продается квартира с балконом. 
Комнаты в квартире в виде распа",Emmas 5,3,67,2/5,LT proj.,672 €,"45,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bgcjo.html,vecmilgravis
11,"Ļoti silts, gaišs dzīvoklis, pakešu logi, jauni radiātori, nomai",Meldru 14,3,56,1/5,LT proj.,768 €,"43,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/bcnhf.html,vecmilgravis
12,"Не переплачивай за чужой ремонт. 

Намного выгоднее приобрести",Vecmīlgrāvja 1. l...,2,50,1/5,LT proj.,678 €,"33,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/cfjxx.html,vecmilgravis
13,Tiek pārdots 3-istabu dzīvoklis tādā pašā stāvoklī kā fotogrāfij,Edžiņa g. 5,3,67,4/5,LT proj.,821 €,"55,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/cjhfj.html,vecmilgravis
14,"Pārdodu vai mainu trīsistabu dzīvokli. 
Maiņas gadījumā uz vien",Stiebru 1,3,60,4/5,LT proj.,917 €,"55,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/gplfd.html,vecmilgravis
15,"3 изолированные комнаты, которые выходят на лес и на парк, переп",Sarmas 7,3,65,5/9,602.,"1,062 €","69,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/aheox.html,vecmilgravis
16,Продаётся 1-комнатная квартира в нормальном состоянии. Комната-1,Melīdas 1,1,43,5/5,M. ģim.,616 €,"26,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/gcbcd.html,vecmilgravis
17,Продается 2-х комнатная квартира. В квартире две изолированные к,Vecmīlgrāvja 1. l...,2,51,1/5,LT proj.,647 €,"33,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/aeoji.html,vecmilgravis
18,"Продается большая, удобная и светлая квартира. 
Окна выходят на",Anitas 3,2,63,1/2,Staļina,857 €,"54,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/cigpk.html,vecmilgravis
